t_s,ch1_div,ch2_div
2.53182,7.3025,1.9944
2.53897,7.3084,0.9583
2.54613,7.3360,0.9315
2.55328,7.3458,0.9269
2.56044,7.3833,0.9267
2.56759,7.3852,0.9419
2.57474,7.4266,0.9401
2.58190,7.4308,0.9468
2.58905,7.4601,0.9556
2.59621,7.4660,0.9581
2.60336,7.4502,0.9389
2.61051,7.4555,0.9399
2.61767,7.4739,0.9498
2.62482,7.4562,0.9415
2.63198,7.4362,0.9458
2.63913,7.4111,0.9656
2.64629,7.3943,0.9654
2.65344,7.3691,1.0331
2.66059,7.3533,1.6922
2.66775,7.3207,1.7553
2.67490,7.3103,1.1845
2.68206,7.2965,0.9641
2.68921,7.2717,0.9609
2.69636,7.2591,0.9537
2.70352,7.2352,0.9425
2.71067,7.2118,0.9515
2.71783,7.1882,0.9511
2.72498,7.1687,0.9528
2.73213,7.1442,0.9505
2.73929,7.1292,0.9715
2.74644,7.1074,0.9506
2.75360,7.0918,0.9580
2.76075,7.0686,0.9410
2.76791,7.0600,0.9477
2.77506,7.0355,0.9384
2.78221,7.0148,0.9597
2.78937,6.9901,0.9340
2.79652,6.9734,0.9398
2.80368,6.9419,0.9202
2.81083,6.9329,0.9379
2.81798,6.9091,0.9243
2.82514,6.8945,0.9265
2.83229,6.8650,0.9234
2.83945,6.8517,0.9486
2.84660,6.8177,0.9320
2.85376,6.8092,0.9165
2.86091,6.8065,0.9165
2.86806,6.7783,0.9310
2.87522,6.7701,0.9204
2.88237,6.7468,0.9165
2.88953,6.7330,0.9249
2.89668,6.7081,0.9215
2.90383,6.6975,0.9272
2.91099,6.6662,0.9202
2.91814,6.6351,0.9341
2.92530,6.6227,0.9208
2.93245,6.6069,0.9281
2.93961,6.5832,0.9198
2.94676,6.5463,0.9381
2.95391,6.5433,0.9207
2.96107,6.5360,0.9370
2.96822,6.5098,0.9060
2.97538,6.5004,0.9398
2.98253,6.4635,0.9259
2.98968,6.4611,0.9317
2.99684,6.4237,0.9192
3.00399,6.4196,0.9287
3.01115,6.3889,0.9189
3.01830,6.3803,0.9284
3.02545,6.3559,0.9195
3.03261,6.3369,0.9179
3.03976,6.3310,0.9019
3.04692,6.3142,0.9066
3.05407,6.2862,0.9214
3.06123,6.2616,0.9222
3.06838,6.2428,0.9281
3.07553,6.2148,0.9320
3.08269,6.1973,0.9318
3.08984,6.1793,0.9221
3.09700,6.1775,0.9257
3.10415,6.1385,0.9091
3.11130,6.1276,0.9189
3.11846,6.0985,0.9116
3.12561,6.0928,0.9183
3.13277,6.0602,0.9306
3.13992,6.0483,0.9302
3.14708,6.0103,0.9163
3.15423,5.9606,0.9122
3.16138,5.9642,0.8949
3.16854,5.9389,0.9129
3.17569,5.9324,0.9058
3.18285,5.9310,0.9145
3.19000,5.8975,0.9088
3.19715,5.8897,0.9171
3.20431,5.8502,0.9018
3.21146,5.8483,0.9120
3.21862,5.8246,0.8979
3.22577,5.8246,0.9084
3.23293,5.7675,0.9136
3.24008,5.7714,0.9044
3.24723,5.7662,0.9222
3.25439,5.7354,0.9237
3.26154,5.7281,0.9111
3.26870,5.7044,0.8978
3.27585,5.7006,0.9026
3.28300,5.6552,0.9038
3.29016,5.6574,0.9285
3.29731,5.6059,0.9084
3.30447,5.6060,0.9238
3.31162,5.5684,0.9173
3.31878,5.5686,0.9289
3.32593,5.5286,0.9315
3.33308,5.5291,0.9222
3.34024,5.4980,0.9325
3.34739,5.4798,0.9252
3.35455,5.4443,0.9315
3.36170,5.4443,0.9286
3.36885,5.4160,0.9415
3.37601,5.4089,0.9323
3.38316,5.3767,0.9202
3.39032,5.3714,0.9069
3.39747,5.3714,0.9422
3.40462,5.3379,0.9473
3.41178,5.2916,0.9274
3.41893,5.2665,0.9245
3.42609,5.2241,0.9539
3.43324,5.2276,0.9438
3.44040,5.2434,0.9695
3.44755,5.2197,0.9695
3.45470,5.2122,0.9768
3.46186,5.1724,0.9674
3.46901,5.1724,0.9586
3.47617,5.1665,0.9746
3.48332,5.1294,0.9595
3.49047,5.1212,0.9720
3.49763,5.0928,0.9577
3.50478,5.0857,0.9913
3.51194,4.9793,0.9655
3.51909,5.0070,0.9843
3.52625,5.0138,0.9695
3.53340,5.0010,0.9773
3.54055,4.9709,0.9714
3.54771,4.9326,0.9910
3.55486,4.8690,0.9841
3.56202,4.8571,0.9884
3.56917,4.8236,0.9852
3.57632,4.8714,0.9799
3.58348,4.8530,0.9857
3.59063,4.8369,0.9851
3.59779,4.8434,1.0307
3.60494,4.7838,2.5897
3.61210,4.7786,3.2323
3.61925,4.7654,2.4414
3.62640,4.7639,1.1459
3.63356,4.6660,0.9903
3.64071,4.6647,1.0010
3.64787,4.6473,0.9827
3.65502,4.6345,0.9813
3.66217,4.5908,0.9659
3.66933,4.5866,0.9822
3.67648,4.6016,0.9823
3.68364,4.6069,0.9721
3.69079,4.5644,0.9754
3.69794,4.5576,0.9714
3.70510,4.5596,0.9685
3.71225,4.5143,0.9659
3.71941,4.5137,0.9714
3.72656,4.4751,0.9600
3.73372,4.4506,0.9667
3.74087,4.4398,0.9596
3.74802,4.4315,0.9634
3.75518,4.4039,0.9433
3.76233,4.4039,0.9461
3.76949,4.3638,0.9320
3.77664,4.3586,0.9302
3.78379,4.3133,0.9405
3.79095,4.3100,0.9457
3.79810,4.2857,0.9408
3.80526,4.2739,0.9241
3.81241,4.2739,0.9311
3.81957,4.2384,0.9143
3.82672,4.2384,0.9358
3.83387,4.1793,0.9156
3.84103,4.1584,0.9217
3.84818,4.1447,0.9208
3.85534,4.1025,0.9057
3.86249,3.7254,0.9209
3.86964,4.0202,0.9084
3.87680,4.0571,0.9138
3.88395,4.0227,0.9074
3.89111,4.0286,0.9118
3.89826,4.0414,0.9044
3.90542,3.9806,0.9158
3.91257,3.9626,0.9052
3.91972,3.9540,0.9030
3.92688,3.9685,0.8905
3.93403,3.8940,0.8903
3.94119,3.8897,0.8887
3.94834,3.8588,0.8867
3.95549,3.8522,0.8887
3.96265,3.8402,0.8847
3.96980,3.8167,0.8899
3.97696,3.8128,0.8867
3.98411,3.7773,0.8924
3.99127,3.8010,0.8869
3.99842,3.7905,0.8815
