quantity,key,value,unit,status
wide_dchi2,6|1,87.245,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|2,61.920,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|3,44.297,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|4,35.815,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|5,38.057,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|6,52.758,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|7,81.817,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|8,127.303,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|9,191.466,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|10,276.749,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|11,385.739,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|12,521.494,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|13,686.954,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|14,885.378,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|15,1120.581,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|16,1396.277,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|17,1716.914,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|18,2086.937,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|19,2511.387,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|20,2995.774,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|0,167.587,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|1,130.854,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|2,100.291,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|3,77.253,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|4,63.231,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|5,59.869,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|6,68.964,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|7,92.484,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|8,132.502,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|9,191.329,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|10,271.881,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|11,376.451,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|12,508.092,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|13,670.189,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|14,865.850,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|15,1099.213,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|16,1374.243,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|17,1695.107,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|18,2066.885,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|19,2494.785,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,7|20,2984.453,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|0,232.975,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|1,189.938,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|2,152.845,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|3,123.108,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|4,102.284,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|5,92.255,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
