file,session,peak,T,bracket,repeat_idx,delta_ms,delta_err_ms,rate_MHzms,width_ms,chi2_red,init_fallback,acf_score,h_m3,h_m2,h_m1,h_0,h_p1,h_p2,h_p3,fit_rms,resid_norm,n_fitted,t0_ms,top3_ok,top3_marginal,rank_m1,rank_p1,n_railed,verdict,top3_gated,reindex_action,reindex_j,excised_k,n_refits,delta_advised_ms,excluded_advised,excluded,excluded_reason,trimmed,trim_start_ms,trim_end_ms,trim_reason,outlier,outlier_reason,status
rulers_p/4121nm_eom_before5.csv,P,4121,130,before,5,146.70004316895876,0.4211788571007777,0.04260394110996744,54.58682961605344,0.8622995921099917,False,0.5271738531961527,0.0007689492536907223,0.020347605554701765,0.11798050466543775,0.12136151302072963,0.12185881097457883,0.022192979210054874,0.0030478589675842446,0.006254181582598046,0.9258052852655158,1996,626.4253612689785,True,False,3,1,0,PASS,False,none,0,,0,146.70004316895876,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_after_1.csv,P,4154,130,after,1,147.91358317563675,0.40459353139640813,0.04225440196779341,57.91279782830771,0.9636305769856806,False,0.5298463676503798,0.0058491944151531205,0.05269070831450389,0.30087369315063134,0.3282053320203563,0.28753628518973495,0.055004140494372696,0.007978407302935437,0.010385010271230214,0.978696020828667,1999,611.7252848380144,True,False,2,3,0,PASS,False,none,0,,0,147.91358317563675,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_after_2.csv,P,4154,130,after,2,148.351633665096,0.3868638618548511,0.0421296338003893,56.2563933861194,0.7844729705668686,False,0.5858342786620518,0.05937608798540165,0.31284128422864127,0.3715096381259937,0.2915360613376308,0.05692604370685474,0.005745869961147951,0.009982668550772074,0.009739862486370125,0.8830423422165313,1999,615.5311528725329,False,False,1,5,0,FAIL,False,phase_shift,-1,,4,148.27184120548384,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_after_3.csv,P,4154,130,after,3,147.00715645752828,0.43779916208136005,0.042514937031692616,57.795881867311124,0.9360547702842784,False,0.530534057919168,0.008568650478087952,0.04913829816041159,0.23383574064115636,0.3111747102925213,0.28982053014231857,0.04640945252325431,0.0005528793657187266,0.010167792724783674,0.9645909143743151,1999,570.3832907968638,True,False,3,2,0,PASS,False,none,0,,0,147.00715645752828,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_after_4.csv,P,4154,130,after,4,147.98636713910975,0.4035218296875099,0.04223362003423526,54.983396781090605,0.8958356552891139,False,0.38199367023417913,0.05095665031545901,0.2492394786248324,0.14004980749588827,0.24627845861474415,0.052416250054730475,0.0028758285246345155,0.019613093147876834,0.008719842825198025,0.9436407963340646,1999,631.4201572049922,False,False,3,4,0,FAIL,False,none,0,,5,147.98636713910975,True,False,top_three_unrecoverable,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_after_5.csv,P,4154,130,after,5,148.3207303048675,0.45146886747987724,0.042138411718667834,60.54970521499161,0.8904767025995188,False,0.27584694611205607,0.005606510370236642,0.061321368123327044,0.2294591218023982,0.10695506622819004,0.2204702289627238,0.05065270714643708,0.004304255524396327,0.008712994250605425,0.9408140993934087,1999,560.1563429477291,True,False,1,2,0,PASS,False,none,0,,0,148.3207303048675,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_before_1.csv,P,4154,130,before,1,148.14383499425367,0.4214049545148949,0.042188728273724184,56.47602329993796,0.7846719320963982,False,0.4103004476963617,0.01366253100011015,0.00784793770010532,0.08565220066542835,0.40785375147820135,0.25516303952378755,0.40572108985405275,0.07921594572252254,0.011117160377649187,0.8831556490810778,2000,-54.679514270437686,False,False,4,3,0,FAIL,False,phase_shift,1,,4,148.18151855582786,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_before_2.csv,P,4154,130,before,2,147.89223517885065,0.542829392304828,0.04226050132004349,56.535324475321495,0.7428658556788278,False,0.4765148346159289,0.008372492718145223,0.0029299162357195405,0.04838895296188917,0.27282255093200786,0.2027640374978069,0.2717182250638403,0.060247860913101865,0.009442239735344745,0.8593070816330766,2000,-49.45924562580281,False,False,5,3,0,FAIL,False,phase_shift,1,,4,147.93297574835054,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_before_3.csv,P,4154,130,before,3,147.87997068153817,0.541835231677222,0.042264006215280314,57.46886794965539,0.7530097856765228,False,0.4204934266028452,0.007826809962619021,0.003182181708954235,0.05134676270799354,0.2736834270211291,0.1795810893046556,0.28360589539323827,0.05706401507448003,0.009414355671682549,0.8651541636971203,2000,-45.6985708180062,False,False,5,3,0,FAIL,False,phase_shift,1,,4,147.89499400797567,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4154nm_eom_before_4.csv,P,4154,130,before,4,147.83181538977246,0.5237214356722409,0.04227777345168419,57.23909830135074,0.767933502504746,False,0.49677734937370754,0.009525919878708336,0.00440386071450239,0.05867271570520467,0.3059400763979339,0.24619041684361412,0.29144967317115544,0.05391162101266293,0.009820788783722677,0.8736852416572674,2000,-51.36269783811968,False,False,4,3,0,FAIL,False,phase_shift,1,,4,147.90994197577564,False,False,,False,nan,nan,,0,,CALIB
